doi,journal,volume,issue,editor,submitted,revised,decision,accepted,online,finalversion,issueonline,issuedate
10.1098/rspb.2009.1184,Proceedings of the Royal Society B: Biological Sciences,276,08,NA,2009-07-07,NA,NA,2009-08-05,2009-08-26,NA,NA,2009-11-22
10.1098/rsbl.2007.0529,Biology Letters,4,02,NA,2007-10-22,NA,NA,2007-11-16,2008-02-23,NA,NA,2008-02-23
10.1111/j.1461-0248.2007.01074.x,Ecology Letters,10,09,Marti Anderson,2007-04-05,NA,2007-04-16,2007-05-08,2007-07-27,NA,2007-07-27,2007-09-01
10.1890/07-1153.1,Ecology,90,04,E. G. Cooc,2007-07-16,2008-06-27,NA,2008-06-30,2009-03-31,NA,NA,2009-04-01
10.1890/es13-00406.1,Ecosphere,5,03,D. P. C. Peters,2014-01-08,2014-02-10,NA,2014-02-14,2014-03-24,NA,NA,2014-03-01
10.1525/cond.2009.080102,The Condor,111,05,NA,2008-12-07,NA,NA,2009-01-30,2009-05-23,NA,NA,2009-05-01
10.7717/peerj.129,PeerJ,1,08,Natasha de Vere,2013-04-21,NA,NA,2013-07-21,2013-08-13,NA,NA,NA
10.1098/rspb.2010.0051,Proceedings of the Royal Society B: Biological Sciences,277,04,NA,2010-01-10,NA,NA,2010-03-18,2010-08-22,NA,NA,2010-08-22
10.1111/j.1461-0248.2009.01428.x,Ecology Letters,13,03,J. Emmett,2009-07-15,NA,2009-08-17,2009-12-07,2010-02-19,NA,2010-02-19,2010-03-01
10.1890/0012-9658-93.5.1106,Ecology,93,05,D. S. Srivastav,2011-05-10,2011-11-22,NA,2011-11-28,2012-05-18,NA,NA,2012-05-01
10.1890/es11-00340.1,Ecosphere,3,06,M. Cadenasso,2011-12-05,2012-05-03,NA,2012-05-14,2012-06-27,NA,NA,2012-06-01
10.1525/cond.2012.110183,The Condor,114,11,NA,2011-11-10,NA,NA,2012-03-16,2012-12-30,NA,NA,2012-11-01
10.7717/peerj.285,PeerJ,2,03,Benjamin Letcher,2013-12-31,NA,NA,2014-01-31,2014-03-04,NA,NA,NA
10.1098/rspb.2011.0605,Proceedings of the Royal Society B: Biological Sciences,278,04,NA,2011-03-21,NA,NA,2011-03-28,2011-04-20,NA,NA,2011-12-07
