"doi","journal","url","editor","received","accepted","online","final_version","issue","first_decision","second_decision","third_decision","fourth_decision","preprint","issueonline","revised1","revised2","revised3","revised4","error"
"10.1371/journal.pone.0079915","PLoS ONE",NA,"Judi Hewitt",2013-06-27,2013-09-27,2013-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0012614","PLoS ONE",NA,"Hans Henrik Bruun",2010-03-22,2010-08-16,2010-09-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0025460","PLoS ONE",NA,"Stuart A Sandin",2011-03-07,2011-09-05,2011-10-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0042326","PLoS ONE",NA,"Martin Heil",2012-02-06,2012-07-05,2012-08-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0096796","PLoS ONE",NA,"Erik Sotka",2013-12-19,2014-04-11,2014-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0079900","PLoS ONE",NA,"Gustavo Bonaventure",2013-08-04,2013-10-07,2013-11-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0021295","PLoS ONE",NA,"Anjali Goswami",2010-10-19,2011-05-26,2011-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0079812","PLoS ONE",NA,"Jacques Ravel",2012-11-06,2013-10-04,2013-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0004269","PLoS ONE",NA,"Justin O Borevitz",2008-09-16,2008-12-08,2009-01-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0050516","PLoS ONE",NA,"Martin Heil",2012-05-16,2012-10-23,2012-12-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0049429","PLoS ONE",NA,"Wayne M Getz",2012-04-08,2012-10-07,2012-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pbio.1001684","PLoS Biology",NA,"Tim Behrens",2013-01-28,2013-09-10,2013-10-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0070572","PLoS ONE",NA,"Christopher Joseph Salice",2013-01-31,2013-06-19,2013-08-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0049552","PLoS ONE",NA,"Nadia Singh",2012-05-15,2012-10-15,2012-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0099801","PLoS ONE",NA,"Gabriele Berg",2014-02-25,2014-05-17,2014-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0032772","PLoS ONE",NA,"Jonathan H Badger",2011-10-20,2012-01-30,2012-03-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0099799","PLoS ONE",NA,"Antoni Margalida",2014-02-05,2014-05-17,2014-06-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0028584","PLoS ONE",NA,"Brock Fenton",2011-06-28,2011-11-10,2011-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0095672","PLoS ONE",NA,"Raffaella Balestrini",2013-09-16,2014-03-28,2014-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pbio.1001775","PLoS Biology",NA,"Craig Moritz",2013-05-29,2013-12-11,2014-01-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0083197","PLoS ONE",NA,"Jose Luis Balcazar",2013-09-21,2013-10-30,2014-01-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0032822","PLoS ONE",NA,"Gustavo Bonaventure",2012-01-09,2012-02-06,2012-03-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0074648","PLoS ONE",NA,"Sebastian C A Ferse",2012-07-25,2013-08-08,2013-09-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pbio.1001705","PLoS Biology",NA,"Anurag A Agrawal",2013-05-28,2013-09-26,2013-11-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0049457","PLoS ONE",NA,"Matt Hayward",2012-08-02,2012-10-09,2013-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0045092","PLoS ONE",NA,"Martin Heil",2012-03-22,2012-08-14,2012-09-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0005461","PLoS ONE",NA,"Andrew Wilby",2009-01-09,2009-04-07,2009-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0094105","PLoS ONE",NA,"Steven M Vamosi",2013-06-07,2014-03-11,2014-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
