doi,journal,url,editor,received,accepted,online,final_version,issue,first_decision,second_decision,third_decision,fourth_decision,preprint,issueonline,revised1,revised2,revised3,revised4,error
10.1890/0012-9658-94.7.1472,Ecology,http://www.esajournals.org/doi/abs/10.1890/0012-9658-94.7.1472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1890/13-0361.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/13-0361.1,W K Michener,2013-02-24,2013-05-01,2013-07-11,NA,2013-07-01,NA,NA,NA,NA,NA,NA,2013-04-25,NA,NA,NA,FALSE
10.1890/13-0182.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/13-0182.1,W K Michener,2013-01-29,2013-04-30,2013-07-11,NA,2013-07-01,NA,NA,NA,NA,NA,NA,2013-04-29,NA,NA,NA,FALSE
10.1890/BR13-39.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/BR13-39.1,NA,NA,NA,2013-07-11,NA,2013-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1890/12-2016.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-2016.1,R A Dahlgren,2012-11-16,2013-02-21,2013-07-11,NA,2013-07-01,NA,NA,NA,NA,NA,NA,2013-02-08,NA,NA,NA,FALSE
10.1890/12-2116.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-2116.1,E Van Donk,2012-12-05,2013-04-11,2013-07-11,NA,2013-07-01,NA,NA,NA,NA,NA,NA,2013-04-09,NA,NA,NA,FALSE
10.1890/BR13-14.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/BR13-14.1,NA,NA,NA,2013-03-28,NA,2013-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1890/12-0840.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-0840.1,A W DAmato,2012-05-24,2012-09-07,2013-03-28,NA,2013-02-01,NA,NA,NA,NA,NA,NA,2012-09-04,NA,NA,NA,FALSE
10.1890/BR13-9.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/BR13-9.1,NA,NA,NA,2013-03-28,NA,2013-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1890/12-0030.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-0030.1,J A Rosenheim,2012-01-06,2012-09-10,2013-03-28,NA,2013-02-01,NA,NA,NA,NA,NA,NA,2012-08-27,NA,NA,NA,FALSE
10.1890/12-0048.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-0048.1,P T Raimondi,2012-01-11,2012-10-02,2013-03-28,NA,2013-02-01,NA,NA,NA,NA,NA,NA,2012-09-19,NA,NA,NA,FALSE
10.1890/12-0628.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-0628.1,D E Schindler,2012-04-17,2012-09-17,2013-03-28,NA,2013-02-01,NA,NA,NA,NA,NA,NA,2012-07-18,NA,NA,NA,FALSE
10.1890/12-0343.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-0343.1,M C Urban,2012-02-29,2012-09-14,2013-03-28,NA,2013-02-01,NA,NA,NA,NA,NA,NA,2012-08-20,NA,NA,NA,FALSE
10.1890/2-0552.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/2-0552.1,S J Schreiber,2012-04-05,2012-09-05,2013-03-28,NA,2013-02-01,NA,NA,NA,NA,NA,NA,2012-08-08,NA,NA,NA,FALSE
10.1890/12-1313.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1313.1,(ad hoc): W Wetzel,2012-07-26,2012-10-05,2013-03-28,NA,2013-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1890/12-0591.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-0591.1,D C Speirs,2012-04-12,2012-08-21,2013-03-28,NA,2013-02-01,NA,NA,NA,NA,NA,NA,2012-07-27,NA,NA,NA,FALSE
10.1890/12-0268.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-0268.1,J F Bruno,2012-02-16,2012-08-29,2013-03-28,NA,2013-02-01,NA,NA,NA,NA,NA,NA,2012-08-20,NA,NA,NA,FALSE
10.1890/12-1187.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1187.1,T D Williams,2012-07-12,2012-09-10,2013-03-28,NA,2013-02-01,NA,NA,NA,NA,NA,NA,2012-08-23,NA,NA,NA,FALSE
10.1890/0012-9658-94.2.552,Ecology,http://www.esajournals.org/doi/abs/10.1890/0012-9658-94.2.552,NA,NA,NA,2013-03-28,NA,2013-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1890/12-1602.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1602.1,J Cavender-Bares,2012-09-16,2013-05-06,2013-09-18,NA,2013-09-01,NA,NA,NA,NA,NA,NA,2013-04-15,NA,NA,NA,FALSE
10.1890/13-0127.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/13-0127.1,W K Michener,2013-01-21,2013-04-17,2013-09-18,NA,2013-09-01,NA,NA,NA,NA,NA,NA,2013-04-08,NA,NA,NA,FALSE
10.1890/13-0237.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/13-0237.1,W K Michener,2013-02-05,2013-05-20,2013-09-18,NA,2013-09-01,NA,NA,NA,NA,NA,NA,2013-05-16,NA,NA,NA,FALSE
10.1890/12-1994.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1994.1,W K Michener,2012-11-13,2013-06-04,2013-09-18,NA,2013-09-01,NA,NA,NA,NA,NA,NA,2013-05-24,NA,NA,NA,FALSE
10.1890/13-0010.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/13-0010.1,W K Michener,2013-01-03,2013-05-01,2013-09-18,NA,2013-09-01,NA,NA,NA,NA,NA,NA,2013-04-30,NA,NA,NA,FALSE
10.1890/12-2170.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-2170.1,M D Eubanks,2012-12-13,2013-03-18,2013-09-18,NA,2013-09-01,NA,NA,NA,NA,NA,NA,2013-03-14,NA,NA,NA,FALSE
10.1890/0012-9658-94.9.2115,Ecology,http://www.esajournals.org/doi/abs/10.1890/0012-9658-94.9.2115,NA,NA,NA,2013-09-18,NA,2013-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1890/BR13-48,Ecology,http://www.esajournals.org/doi/abs/10.1890/BR13-48,NA,NA,NA,2013-09-18,NA,2013-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1890/13-0250.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/13-0250.1,M H Graham,2013-02-06,2013-03-29,2013-09-18,NA,2013-09-01,NA,NA,NA,NA,NA,NA,2013-03-22,NA,NA,NA,FALSE
10.1890/13-0176.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/13-0176.1,E G Cooch,2013-01-30,2013-05-31,2013-10-16,NA,2013-10-01,NA,NA,NA,NA,NA,NA,2013-05-30,NA,NA,NA,FALSE
10.1890/12-1828.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1828.1,P T Raimondi,2012-10-22,2013-05-20,2013-10-16,NA,2013-10-01,NA,NA,NA,NA,NA,NA,2013-03-20,NA,NA,NA,FALSE
