doi,journal,url,editor,received,accepted,online,final_version,issue,first_decision,second_decision,third_decision,fourth_decision,preprint,issueonline,revised1,revised2,revised3,revised4,error
10.1890/10-2213.1,Ecological Applications,http://www.esajournals.org/doi/abs/10.1890/10-2213.1,NA,2010-12-03,2012-08-02,2013-03-21,NA,2013-03-01,NA,NA,NA,NA,NA,NA,2012-01-10,NA,NA,NA,FALSE
10.1098/rsbl.2012.1144,Biology Letters,http://rsbl.royalsocietypublishing.org/cgi/doi/10.1098/rsbl.2012.1144,NA,2012-12-09,2013-04-10,2013-05-01,NA,2013-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1111/j.1365-2664.2009.01707.x,Journal of Applied Ecology,http://doi.wiley.com/10.1111/j.1365-2664.2009.01707.x,Jack Lennon,2009-04-03,2009-08-04,2009-09-17,NA,2009-12-01,NA,NA,NA,NA,NA,2009-11-26,NA,NA,NA,NA,FALSE
10.1890/12-0790.1,Ecological Applications,http://www.esajournals.org/doi/abs/10.1890/12-0790.1,NA,2012-05-15,2012-08-21,2013-03-21,NA,2013-03-01,NA,NA,NA,NA,NA,NA,2012-08-20,NA,NA,NA,FALSE
10.1098/rsbl.2012.1036,Biology Letters,http://rsbl.royalsocietypublishing.org/cgi/doi/10.1098/rsbl.2012.1036,NA,2012-11-05,2013-04-04,2013-05-01,NA,2013-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1111/j.1365-2664.2009.01656.x,Journal of Applied Ecology,http://doi.wiley.com/10.1111/j.1365-2664.2009.01656.x,NA,NA,NA,2009-04-28,NA,2009-06-01,NA,NA,NA,NA,NA,2009-04-28,NA,NA,NA,NA,FALSE
10.1890/12-0878.1,Ecological Applications,http://www.esajournals.org/doi/abs/10.1890/12-0878.1,NA,2012-05-29,2012-08-29,2013-03-21,NA,2013-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rsbl.2013.0283,Biology Letters,http://rsbl.royalsocietypublishing.org/cgi/doi/10.1098/rsbl.2013.0283,NA,2013-03-27,2013-04-17,2013-05-08,NA,2013-08-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1111/j.1365-2664.2009.01630.x,Journal of Applied Ecology,http://doi.wiley.com/10.1111/j.1365-2664.2009.01630.x,E J Milner-Gulland,2008-05-13,2009-01-28,2009-04-28,NA,2009-06-01,NA,NA,NA,NA,NA,2009-04-28,NA,NA,NA,NA,FALSE
10.1890/12-0808.1,Ecological Applications,http://www.esajournals.org/doi/abs/10.1890/12-0808.1,NA,2012-05-17,2012-08-16,2013-03-21,2012-09-11,2013-03-01,NA,NA,NA,NA,NA,NA,2012-07-26,NA,NA,NA,FALSE
10.1098/rsbl.2013.0241,Biology Letters,http://rsbl.royalsocietypublishing.org/cgi/doi/10.1098/rsbl.2013.0241,NA,2013-03-15,2013-04-16,2013-05-08,NA,2013-08-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1111/j.1365-2664.2009.01631.x,Journal of Applied Ecology,http://doi.wiley.com/10.1111/j.1365-2664.2009.01631.x,E J Milner-Gulland,2008-05-12,2009-01-28,2009-04-28,NA,2009-06-01,NA,NA,NA,NA,NA,2009-04-28,NA,NA,NA,NA,FALSE
10.1890/11-1982.1,Ecological Applications,http://www.esajournals.org/doi/abs/10.1890/11-1982.1,NA,2011-11-05,2012-08-07,2013-03-21,NA,2013-03-01,NA,NA,NA,NA,NA,NA,2012-06-25,NA,NA,NA,FALSE
10.1098/rsbl.2013.0205,Biology Letters,http://rsbl.royalsocietypublishing.org/cgi/doi/10.1098/rsbl.2013.0205,NA,2013-03-04,2013-04-17,2013-05-08,NA,2013-08-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1111/j.1365-2664.2009.01734.x,Journal of Applied Ecology,http://doi.wiley.com/10.1111/j.1365-2664.2009.01734.x,Andy Royle,2009-05-27,2009-10-18,2009-11-11,NA,2009-12-01,NA,NA,NA,NA,NA,2009-11-26,NA,NA,NA,NA,FALSE
10.1890/12-1051.1,Ecological Applications,http://www.esajournals.org/doi/abs/10.1890/12-1051.1,NA,2012-06-20,2012-11-01,2013-06-07,NA,2013-06-01,NA,NA,NA,NA,NA,NA,2012-10-25,2012-11-26,NA,NA,FALSE
